Object_ID,Observation,GPS,Waypoint,Latitude,Longitude,Date,Team_Members,Camera_Phone,Phicture_ID,Cover_Class,Incline,Average_Slope,Common_Name ,Family,Genus_Species,Number,Total_Vascular_No_Grasses,Number_Unique,Abstract_Notes,Notebook_ID,
1,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,White Bursage,Asteraceae,Ambrosia dumosa,1,TNTC,5,White bursage,,
2,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,5,Red Brome,,
3,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,Pencil Cholla,Cactaceae,Cylindropuntia ramosissima,1,TNTC,5,Pencil cholla,,
4,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,5,Mormon tea,,
5,"MJV14-17-BIO-VT-10,-3-1A",1,974,35.231777,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9005,Gravel,,,Desert Trumpet,Polygonaceae,Eriogonum inflatum,1,TNTC,5,Desert trumpet,,
6,"MJV14-17-BIO-VT-10,-3-1B",1,975,35.231774,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9006,Sand,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,3,Red Brome,,
7,"MJV14-17-BIO-VT-10,-3-1B",1,975,35.231774,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9006,Sand,,,Buckhorn Cholla,Cactaceae,Cylindropuntia acanthocarpa,1,TNTC,3,Buckhorn cholla,,
8,"MJV14-17-BIO-VT-10,-3-1B",1,975,35.231774,-115.79363,,Lauren Yang/Pam Lim,Lauren Yang,999-9006,Sand,,,Anderson Thornbush,Solanaceae,Lycium andersonii,3,TNTC,3,Anderson thornbush,,
9,"MJV14-17-BIO-VT-10,-3-1C",1,976,35.231832,-115.793838,,Lauren Yang/Pam Lim,Lauren Yang,999-9007,Gravel,,,Low Woollygrass,Poaceae,Dasyochloa pulchella,1,TNTC,4,Low woollygrass,,
10,"MJV14-17-BIO-VT-10,-3-1C",1,976,35.231832,-115.793838,,Lauren Yang/Pam Lim,Lauren Yang,999-9007,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,4,Mormon tea,,
11,"MJV14-17-BIO-VT-10,-3-1C",1,976,35.231832,-115.793838,,Lauren Yang/Pam Lim,Lauren Yang,999-9008,Gravel,,,California Buckwheat ,Polygonaceae,Eriogonum fasciculatum,1,TNTC,4,California buckwheat,,
12,"MJV14-17-BIO-VT-10,-3-1C",1,976,35.231832,-115.793838,,Lauren Yang/Pam Lim,Lauren Yang,999-9007,Gravel,,,Mojave Yucca,Agavaceae,Yucca schidigera,3,TNTC,4,Mojave yucca,12,
13,"MJV14-17-BIO-VT-10,-3-1D",1,977,35.231783,-115.793979,,Lauren Yang/Pam Lim,Lauren Yang,999-9011,Live plant,,,Mojave Rabbitbush,Asteraceae,Ericameria paniculata,1,5,4,Mojave rabbitbush,,
14,"MJV14-17-BIO-VT-10,-3-1D",1,977,35.231783,-115.793979,,Lauren Yang/Pam Lim,Lauren Yang,999-9009,Live plant,,,California Buckwheat ,Polygonaceae,Eriogonum fasciculatum,1,5,4,California buckwheat,,
15,"MJV14-17-BIO-VT-10,-3-1D",1,977,35.231783,-115.793979,,Lauren Yang/Pam Lim,Lauren Yang,999-9009,Live plant,,,Anderson Thornbush,Solanaceae,Lycium andersonii,2,5,4,Anderson thornbush,,
16,"MJV14-17-BIO-VT-10,-3-1D",1,977,35.231783,-115.793979,,Lauren Yang/Pam Lim,Lauren Yang,999-9009,Live plant,,,Mojave Yucca,Agavaceae,Yucca schidigera,1,5,4,Mojave yucca,12,
17,"MJV14-17-BIO-VT-10,-3-1E",1,978,35.231793,-115.794085,,Lauren Yang/Pam Lim,Lauren Yang,999-9012,Granite,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,2,2,Mormon tea,,
18,"MJV14-17-BIO-VT-10,-3-1E",1,978,35.231793,-115.794085,,Lauren Yang/Pam Lim,Lauren Yang,999-9012,Granite,,,Creosote Bush,Zygophyllaceae,Larrea tridentada,1,2,2,Creosote bush,,
19,"MJV14-17-BIO-VT-10,-3-1E",1,979,35.231807,-115.794245,,Lauren Yang/Pam Lim,Lauren Yang,999-9012,Granite,,,Yellow-green lichen,Null,Null,1,2,2,Lichen,12,
20,"MJV14-17-BIO-VT-10,-3-1F",1,979,35.231807,-115.794245,,Lauren Yang/Pam Lim,Lauren Yang,999-9018,Gravel,,,Mojave Rabbitbush,Asteraceae,Ericameria paniculata,1,2,2,Mojave rabbitbush,,
21,"MJV14-17-BIO-VT-10,-3-1F",1,979,35.231807,-115.794245,,Lauren Yang/Pam Lim,Lauren Yang,999-9015,Gravel,,,Anderson Thornbush,Solanaceae,Lycium andersonii,1,2,2,Anderson thornbush,,
22,"MJV14-17-BIO-VT-10,-3-1G",1,980,35.23179,-115.794359,,Lauren Yang/Pam Lim,Lauren Yang,999-9021,Gravel,,,Mulefat,Asteraceae,Baccharis salicina,1,5,5,Mulefat,,
23,"MJV14-17-BIO-VT-10,-3-1G",1,980,35.23179,-115.794359,,Lauren Yang/Pam Lim,Lauren Yang,999-9020,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,5,5,Mormon tea,,
24,"MJV14-17-BIO-VT-10,-3-1G",1,980,35.23179,-115.794359,,Lauren Yang/Pam Lim,Lauren Yang,999-9020,Gravel,,,Mojave Rabbitbush,Asteraceae,Ericameria paniculata,1,5,5,Mojave rabbitbush,,
25,"MJV14-17-BIO-VT-10,-3-1G",1,980,35.23179,-115.794359,,Lauren Yang/Pam Lim,Lauren Yang,999-9020,Gravel,,,California Buckwheat ,Polygonaceae,Eriogonum fasciculatum,1,5,5,California buckwheat,,
26,"MJV14-17-BIO-VT-10,-3-1G",1,980,35.23179,-115.794359,,Lauren Yang/Pam Lim,Lauren Yang,999-9020,Gravel,,,Creosote Bush,Zygophyllaceae,Larrea tridentada,1,5,5,Creosote bush,,
27,"MJV14-17-BIO-VT-10,-3-1H",1,981,35.231811,-115.79446,,,Lauren Yang,999-9022,Live plant,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,4,Mormon tea,,
28,"MJV14-17-BIO-VT-10,-3-1H",1,981,35.231811,-115.79446,,Lauren Yang/Pam Lim,Lauren Yang,999-9022,Live plant,,,Fuzzy tops,Null,Null,TNTC,TNTC,4,Fuzzy top grass,,
29,"MJV14-17-BIO-VT-10,-3-1H",1,981,35.231811,-115.79446,,Lauren Yang/Pam Lim,Lauren Yang,999-9022,Live plant,,,Anderson Thornbush,Solanaceae,Lycium andersonii,1,TNTC,4,Anderson thornbush,,
30,"MJV14-17-BIO-VT-10,-3-1H",1,981,35.231811,-115.79446,,,Lauren Yang,999-9022,Live plant,,,Wheat top grass,Poaceae,Null,TNTC,TNTC,4,Wheat top grass,,
31,"MJV14-17-BIO-VT-10,-3-1I",1,982,35.23183,-115.79458,,,Lauren Yang,999-9026,Dead plant,,,Mormon Tea ,Ephedraceae,Ephedra viridis,2,9,3,Mormon tea,,
32,"MJV14-17-BIO-VT-10,-3-1I",1,982,35.23183,-115.79458,,,Lauren Yang,999-9026,Dead plant,,,Mojave Yucca,Agavaceae,Yucca schidigera,1,9,3,Mojave yucca,12,
33,"MJV14-17-BIO-VT-10,-3-1I",1,982,35.23183,-115.79458,,,Lauren Yang,999-9026,Dead plant,,,Mojave Yucca,Agavaceae,Yucca schidigera,6,9,3,Mojave yucca,12,
34,"MJV14-17-BIO-VT-10,-3-1J",1,983,35.231807,-115.794631,,,Lauren Yang,999-9028,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,5,Red Brome,,
35,"MJV14-17-BIO-VT-10,-3-1J",1,983,35.231807,-115.794631,,,Lauren Yang,999-9028,Gravel,,,Hedgehog Cactus,Cactaceae,Echinocereus engelmannii,1,TNTC,5,Hedgehog cactus,,
36,"MJV14-17-BIO-VT-10,-3-1J",1,983,35.231807,-115.794631,,,Lauren Yang,999-9028,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,5,Mormon tea,,
37,"MJV14-17-BIO-VT-10,-3-1J",1,983,35.231807,-115.794631,,,Lauren Yang,999-9028,Gravel,,,California Buckwheat ,Polygonaceae,Eriogonum fasciculatum,1,TNTC,5,California buckwheat,,
38,"MJV14-17-BIO-VT-10,-3-1J",1,983,35.231807,-115.794631,,,Lauren Yang,999-9028,Gravel,,,Wheat top grass,Poaceae,Null,1,TNTC,5,Wheat top grass,,
39,"MJV14-17-BIO-VT-10,-3-2A",1,984,35.231882,-115.794645,,,Lauren Yang,999-9032,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,2,Mormon tea,,
40,"MJV14-17-BIO-VT-10,-3-2A",1,984,35.231882,-115.794645,,,Lauren Yang,999-9036,Gravel,,,Spiky top,Null,Null,TNTC,TNTC,2,Spiky top unknown,,
41,"MJV14-17-BIO-VT-10,-3-2B",1,985,35.231843,-115.794562,,,Lauren Yang,999-9037,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,4,Mormon tea,,
42,"MJV14-17-BIO-VT-10,-3-2B",1,985,35.231843,-115.794562,,,Lauren Yang,999-9037,Gravel,,,Creosote Bush,Zygophyllaceae,Larrea tridentada,1,TNTC,4,Creosote bush,,
43,"MJV14-17-BIO-VT-10,-3-2B",1,985,35.231843,-115.794562,,,Lauren Yang,999-9037,Gravel,,,Anderson Thornbush,Solanaceae,Lycium andersonii,1,TNTC,4,Anderson thornbush,,
44,"MJV14-17-BIO-VT-10,-3-2B",1,985,35.231843,-115.794562,,,Lauren Yang,999-9037,Gravel,,,Wheat top grass,Poaceae,Null,TNTC,TNTC,4,Wheat top grass,,
45,"MJV14-17-BIO-VT-10,-3-2C",1,986,35.231888,-115.794421,,,Lauren Yang,999-9038,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,2,Red Brome,,
46,"MJV14-17-BIO-VT-10,-3-2C",1,986,35.231888,-115.794421,,,Lauren Yang,999-9038,Gravel,,,Creosote Bush,Zygophyllaceae,Larrea tridentada,1,TNTC,2,Creosote bush,,
47,"MJV14-17-BIO-VT-10,-3-2D",1,988,35.231849,-115.794288,,,Lauren Yang,999-9039,Live plant,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,4,4,Mormon tea,,
48,"MJV14-17-BIO-VT-10,-3-2D",1,988,35.231849,-115.794288,,,Lauren Yang,999-9039,Live plant,,,Barrel Cactus,Cactaceae,Ferocactus cylindraceus,1,4,4,Barrel cactus,,
49,"MJV14-17-BIO-VT-10,-3-2D",1,988,35.231849,-115.794288,,,Lauren Yang,999-9039,Live plant,,,Creosote Bush,Zygophyllaceae,Larrea tridentada,1,4,4,Creosote bush,,
50,"MJV14-17-BIO-VT-10,-3-2D",1,988,35.231849,-115.794288,,,Lauren Yang,999-9039,Live plant,,,Mojave Yucca,Agavaceae,Yucca schidigera,1,4,4,Mojave yucca,12,
51,"MJV14-17-BIO-VT-10,-3-2E",1,989,35.231849,-115.794288,,,Lauren Yang,999-9040,Live plant,,,White Bursage,Asteraceae,Ambrosia dumosa,1,TNTC,4,White bursage,,
52,"MJV14-17-BIO-VT-10,-3-2E",1,989,35.231849,-115.794288,,,Lauren Yang,999-9040,Live plant,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,4,Red Brome,,
53,"MJV14-17-BIO-VT-10,-3-2E",1,989,35.231849,-115.794288,,,Lauren Yang,999-9040,Live plant,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,4,Mormon tea,,
54,"MJV14-17-BIO-VT-10,-3-2E",1,989,35.231849,-115.794288,,,Lauren Yang,999-9040,Live plant,,,Mojave Yucca,Agavaceae,Yucca schidigera,3,TNTC,4,Mojave yucca,12,
55,"MJV14-17-BIO-VT-10,-3-2F",1,993,35.231876,-115.794006,,,Lauren Yang,999-9041,Dead plant,,,Buckhorn Cholla,Cactaceae,Cylindropuntia acanthocarpa,1,TNTC,3,Buckhorn cholla,,
56,"MJV14-17-BIO-VT-10,-3-2F",1,993,35.231876,-115.794006,,,Lauren Yang,999-9041,Dead plant,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,3,Mormon tea,,
57,"MJV14-17-BIO-VT-10,-3-2F",1,993,35.231876,-115.794006,,,Lauren Yang,999-9041,Dead plant,,,Spiky top,Null,Null,TNTC,TNTC,3,Spiky top unknown,,
58,"MJV14-17-BIO-VT-10,-3-2G",1,994,35.231857,-115.793867,,,Lauren Yang,999-9042,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,3,Red Brome,,
59,"MJV14-17-BIO-VT-10,-3-2G",1,994,35.231857,-115.793867,,,Lauren Yang,999-9042,Gravel,,,California Buckwheat ,Polygonaceae,Eriogonum fasciculatum,1,TNTC,3,California buckwheat,,
60,"MJV14-17-BIO-VT-10,-3-2G",1,994,35.231857,-115.793867,,,Lauren Yang,999-9042,Gravel,,,Creosote Bush,Zygophyllaceae,Larrea tridentada,1,TNTC,3,Creosote bush,,
61,"MJV14-17-BIO-VT-10,-3-2H",1,995,35.231876,-115.793743,,,Lauren Yang,999-9043,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,2,Red Brome,,
62,"MJV14-17-BIO-VT-10,-3-2H",1,995,35.231876,-115.793743,,,Lauren Yang,999-9043,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,2,TNTC,2,Mormon tea,,
63,"MJV14-17-BIO-VT-10,-3-2I",1,996,35.231878,-115.794204,,,Lauren Yang,999-9045,Granite,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,3,Red Brome,,
64,"MJV14-17-BIO-VT-10,-3-2I",1,996,35.231878,-115.794204,,,Lauren Yang,999-9045,Granite,,,Desert Trumpet,Polygonaceae,Eriogonum inflatum,1,TNTC,3,Desert trumpet,,
65,"MJV14-17-BIO-VT-10,-3-2I",1,996,35.231878,-115.794204,,,Lauren Yang,999-9045,Granite,,,Wheat top grass,Poaceae,Null,TNTC,TNTC,3,Wheat top grass,,
66,"MJV14-17-BIO-VT-10,-3-2J",1,997,35.231882,-115.793606,,,Lauren Yang,999-9044,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,3,Red Brome,,
67,"MJV14-17-BIO-VT-10,-3-2J",1,997,35.231882,-115.793606,,,Lauren Yang,999-9044,Gravel,,,Low Woollygrass,Poaceae,Dasyochloa pulchella,2,TNTC,3,Low woollygrass,,
68,"MJV14-17-BIO-VT-10,-3-2J",1,997,35.231882,-115.793606,,,Lauren Yang,999-9044,Gravel,,,Creosote Bush,Zygophyllaceae,Larrea tridentada,1,TNTC,3,Creosote bush,,
69,"MJV14-17-BIO-VT-10,-3-3A",1,998,35.231998,-115.793594,,,Lauren Yang,999-9048,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,4,Red Brome,,
70,"MJV14-17-BIO-VT-10,-3-3A",1,998,35.231998,-115.793594,,,Lauren Yang,999-9048,Gravel,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,TNTC,4,Mormon tea,,
71,"MJV14-17-BIO-VT-10,-3-3A",1,998,35.231998,-115.793594,,,Lauren Yang,999-9048,Gravel,,,Desert Trumpet,Polygonaceae,Eriogonum inflatum,1,TNTC,4,Desert trumpet,,
72,"MJV14-17-BIO-VT-10,-3-3A",1,998,35.231998,-115.793594,,,Lauren Yang,999-9048,Gravel,,,Wheat top grass,Poaceae,Null,TNTC,TNTC,4,Wheat top grass,,
73,"MJV14-17-BIO-VT-10,-3-3B",1,999,35.231957,-115.793747,,,Lauren Yang,999-9051,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,3,Red Brome,,
74,"MJV14-17-BIO-VT-10,-3-3B",1,999,35.231957,-115.793747,,,Lauren Yang,999-9051,Gravel,,,Low Woollygrass,Poaceae,Dasyochloa pulchella,TNTC,TNTC,3,Low woollygrass,,
75,"MJV14-17-BIO-VT-10,-3-3B",1,999,35.231957,-115.793747,,,Lauren Yang,999-9051,Gravel,,,California Buckwheat ,Polygonaceae,Eriogonum fasciculatum,1,TNTC,3,California buckwheat,,
76,"MJV14-17-BIO-VT-10,-3-3C",1,16,35.231957,-115.79388,,,Lauren Yang,999-9074,Granite,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,3,Red Brome,,
77,"MJV14-17-BIO-VT-10,-3-3C",1,16,35.231957,-115.79388,,,Lauren Yang,999-9074,Granite,,,Wheat top grass,Poaceae,Null,TNTC,TNTC,3,Wheat top grass,,
78,"MJV14-17-BIO-VT-10,-3-3C",1,16,35.231957,-115.79388,,,Lauren Yang,999-9074,Granite,,,Mojave Yucca,Agavaceae,Yucca schidigera,6,TNTC,3,Mojave yucca,12,
79,"MJV14-17-BIO-VT-10,-3-3D",1,15,35.231969,-115.794027,,,Lauren Yang,999-9074,Live plant,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,4,Red Brome,,
80,"MJV14-17-BIO-VT-10,-3-3D",1,15,35.231969,-115.794027,,,Lauren Yang,999-9074,Live plant,,,Low Woollygrass,Poaceae,Dasyochloa pulchella,3,TNTC,4,Low woollygrass,,
81,"MJV14-17-BIO-VT-10,-3-3D",1,15,35.231969,-115.794027,,,Lauren Yang,999-9074,Live plant,,,Mormon Tea ,Ephedraceae,Ephedra viridis,10,TNTC,4,Mormon tea,,
82,"MJV14-17-BIO-VT-10,-3-3D",1,15,35.231969,-115.794027,,,Lauren Yang,999-9074,Live plant,,,Barrel Cactus,Cactaceae,Ferocactus cylindraceus,1,TNTC,4,Barrel cactus,,
83,"MJV14-17-BIO-VT-10,-3-3E",1,14,35.231985,-115.794073,,,Lauren Yang,999-9073,Live plant,,,White Bursage,Asteraceae,Ambrosia dumosa,3,6,4,White bursage,,
84,"MJV14-17-BIO-VT-10,-3-3E",1,14,35.231985,-115.794073,,,Lauren Yang,999-9073,Live plant,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,1,6,4,Red Brome,,
85,"MJV14-17-BIO-VT-10,-3-3E",1,14,35.231985,-115.794073,,,Lauren Yang,999-9073,Live plant,,,Pencil Cholla,Cactaceae,Cylindropuntia ramosissima,1,6,4,Pencil cholla,,
86,"MJV14-17-BIO-VT-10,-3-3E",1,14,35.231985,-115.794073,,,Lauren Yang,999-9073,Live plant,,,Mormon Tea ,Ephedraceae,Ephedra viridis,1,6,4,Mormon tea,,
87,"MJV14-17-BIO-VT-10,-3-3F",1,13,35.23198,-115.794192,,,Lauren Yang,999-9072,Gravel,,,White Bursage,Asteraceae,Ambrosia dumosa,1,TNTC,3,White bursage,,
88,"MJV14-17-BIO-VT-10,-3-3F",1,13,35.23198,-115.794192,,,Lauren Yang,999-9072,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,3,Red Brome,,
89,"MJV14-17-BIO-VT-10,-3-3F",1,13,35.23198,-115.794192,,,Lauren Yang,999-9072,Gravel,,,Creosote Bush,Zygophyllaceae,Larrea tridentada,1,TNTC,3,Creosote bush,,
90,"MJV14-17-BIO-VT-10,-3-3G",1,12,35.231984,-115.794259,,,Lauren Yang,999-9070,Gravel,,,Red Brome,Poaceae,Bromus madritensis ssp. rubens,TNTC,TNTC,4,Red Brome,,
91,"MJV14-17-BIO-VT-10,-3-3G",1,12,35.231984,-115.794259,,,Lauren Yang,999-9070,Gravel,,,California Buckwheat ,Polygonaceae,Eriogonum fasciculatum,1,TNTC,4,California buckwheat,,
92,"MJV14-17-BIO-VT-10,-3-3G",1,12,35.231984,-115.794259,,,Lauren Yang,999-9070,Gravel,,,Anderson Thornbush,Solanaceae,Lycium andersonii,1,TNTC,4,Anderson thornbush,,
