Object_ID,Observation ,GPS #,WP,Latitude,Longitude,Date,Note_Taker,Team_Members,Camera_Phone,Picture_ID,Cover_Class,Average_Slope,Common_Name,Family,Genus_Species,Number,Total_Vascular_No_Grasses,Abstract_Notes,Notebook_ID,, 
1,"MJV9-16-BIO-VT-3,2-A1",3,198,35.235385,-115.801957,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A1",Basalt Pebbles,,White bursage,Asteraceae ,Ambrosia dumosa,1,4,White bursage,6,,
2,"MJV9-16-BIO-VT-3,2-A1",3,198,35.235385,-115.801957,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A1",Basalt Pebbles,,California cholla,Cactaceae,Cylindropuntia californica,1,4,California cholla,6,,
3,"MJV9-16-BIO-VT-3,2-A1",3,198,35.235385,-115.801957,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A1",Basalt Pebbles,,Mormon tea,Ephedraceae,Ephedra viridis,2,4,"Morman tea, slightly dormant",6,,
4,"MJV9-16-BIO-VT-3,2-A2",3,199,35.235392,-115.802009,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A2",Basalt Pebbles,,,,Dead annual plant,2,8,brown,6,,
5,"MJV9-16-BIO-VT-3,2-A2",3,199,35.235392,-115.802009,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A2",Basalt Pebbles,,,Poaceae,FIne grass clumps,3,8,"yellow, brown",6,,
6,"MJV9-16-BIO-VT-3,2-A2",3,199,35.235392,-115.802009,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A2",Basalt Pebbles,,,,Thicker grass clump,1,8,"yellow, brown",6,,
7,"MJV9-16-BIO-VT-3,2-A2",3,199,35.235392,-115.802009,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A2",Basalt Pebbles,,,Poaceae,Wheat top grass clumps,2,8,"yellow, brown",6,,
8,"MJV9-16-BIO-VT-3,2-A3",3,200,35.235391,-115.802066,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A3",Sand,,Buckhorn cholla,Cactaceae,Cylindropuntia acanthocarpa,1,TMTC,Buckhorn cholla,6,,
9,"MJV9-16-BIO-VT-3,2-A3",3,200,35.235391,-115.802066,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A3",Sand,,Mormon tea,Ephedraceae,Ephedra viridis,1,TMTC,Morman tea,6,,
10,"MJV9-16-BIO-VT-3,2-A3",3,200,35.235391,-115.802066,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A3",Sand,,,Poaceae,Fine grass clumps,3,TMTC,"yellow, brown",6,,
11,"MJV9-16-BIO-VT-3,2-A3",3,200,35.235391,-115.802066,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A3",Sand,,,Poaceae,Wheat top grass clumps,TMTC,TMTC,"yellow, brown",6,,
12,"MJV9-16-BIO-VT-3,2-A3",3,200,35.235391,-115.802066,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A3",Sand,,Mojave yucca,Agavaceae,Yucca schidigera,1,TMTC,Mojave yucca,6,,
13,"MJV9-16-BIO-VT-3,2-A4",3,201,35.235397,-115.802107,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A4",Basalt Rock,,Buckhorn cholla,Cactaceae,Cylindropuntia acanthocarpa,1,12,Buckhorn cholla,6,,
14,"MJV9-16-BIO-VT-3,2-A4",3,201,35.235397,-115.802107,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A4",Basalt Rock,,Hedgehog cactus,Cactaceae,Echinocereus engelmannii,1,12,"Hedgehog cactus, small",6,,
15,"MJV9-16-BIO-VT-3,2-A4",3,201,35.235397,-115.802107,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A4",Basalt Rock,,Barrel cactus,Cactaceae,Ferocactus cylindraceus,2,12,Barrel cactus,6,,
16,"MJV9-16-BIO-VT-3,2-A4",3,201,35.235397,-115.802107,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A4",Basalt Rock,,,Poaceae,FIne grass clumps,5,12,"yellow, brown",6,,
17,"MJV9-16-BIO-VT-3,2-A4",3,201,35.235397,-115.802107,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A4",Basalt Rock,,,,Unknown grass,1,12,"Dead with spiky ""leaves""",6,,
18,"MJV9-16-BIO-VT-3,2-A4",3,201,35.235397,-115.802107,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A4",Basalt Rock,,,Poaceae,Wheat top grass clumps,1,12,"yellow, brown",6,,
19,"MJV9-16-BIO-VT-3,2-A4",3,201,35.235397,-115.802107,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A4",Basalt Rock,,Mojave yucca,Agavaceae,Yucca schidigera,1,12,Mojave yucca,6,,
20,"MJV9-16-BIO-VT-3,2-A5",3,202,35.235408,-115.802144,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A5",Basalt Rock,,Mormon tea,Ephedraceae,Ephedra viridis,1,4,Morman tea,6,,
21,"MJV9-16-BIO-VT-3,2-A5",3,202,35.235408,-115.802144,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A5",Basalt Rock,,,Poaceae,FIne grass clumps,2,4,"yellow, brown",6,,
22,"MJV9-16-BIO-VT-3,2-A5",3,202,35.235408,-115.802144,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A5",Basalt Rock,,,Poaceae,Spiky stalk grass,1,4,"Spiky stalk grass, unknown",6,,
23,"MJV9-16-BIO-VT-3,2-A5a",3,203,35.235428,-115.802196,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A5a",Sand,,Hedgehog cactus,Cactaceae,Echinocereus engelmannii,1,4,"Hedgehog cactus, dying, dead",6,,
24,"MJV9-16-BIO-VT-3,2-A5a",3,203,35.235428,-115.802196,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A5a",Sand,,Mormon tea,Ephedraceae,Ephedra viridis,1,4,Morman tea,6,,
25,"MJV9-16-BIO-VT-3,2-A5a",3,203,35.235428,-115.802196,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A5a",Sand,,,Poaceae,Wheat top grass clumps,2,4,"yellow, brown",6,,
26,"MJV9-16-BIO-VT-3,2-A6",3,204,35.235408,-115.802229,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A6",Basalt Rock,,Buckhorn cholla,Cactaceae,Cylindropuntia acanthocarpa,1,4,Buckhorn cholla,6,,
27,"MJV9-16-BIO-VT-3,2-A6",3,204,35.235408,-115.802229,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A6",Basalt Rock,,,Poaceae,FIne grass clumps,TMTC,4,"yellow, brown",6,,
28,"MJV9-16-BIO-VT-3,2-A6",3,204,35.235408,-115.802229,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A6",Basalt Rock,,,Poaceae,Maroon/green fine grass,1,4,Possible Red Brome,6,,
29,"MJV9-16-BIO-VT-3,2-A6",3,204,35.235408,-115.802229,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A6",Basalt Rock,,,Poaceae,Wheat top grass clumps,TMTC,4,"yellow, brown",6,,
30,"MJV9-16-BIO-VT-3,2-A7",3,205,35.235421,-115.802287,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A7",Sand,,Hedgehog cactus,Cactaceae,Echinocereus engelmannii,1,14,Hedgehog cactus,6,,
31,"MJV9-16-BIO-VT-3,2-A7",3,205,35.235421,-115.802287,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A7",Sand,,,Poaceae,FIne grass clumps,7,14,"yellow, brown",6,,
32,"MJV9-16-BIO-VT-3,2-A7",3,205,35.235421,-115.802287,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A7",Sand,,,,Unknown dead annual,1,14,Unknown annual (pic),6,,
33,"MJV9-16-BIO-VT-3,2-A7",3,205,35.235421,-115.802287,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A7",Sand,,,,Unknown dead annual #2,1,14,Unknown annual (pic),6,,
34,"MJV9-16-BIO-VT-3,2-A7",3,205,35.235421,-115.802287,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A7",Sand,,,Poaceae,Wheat top grass clumps,3,14,"yellow, brown",6,,
35,"MJV9-16-BIO-VT-3,2-A7",3,205,35.235421,-115.802287,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A7",Sand,,Mojave yucca,Agavaceae,Yucca schidigera,1,14,Mojave yucca,6,,
36,"MJV9-16-BIO-VT-3,2-A8",3,206,35.235427,-115.802328,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A8",Basalt Pebbles,,California cholla,Cactaceae,Cylindropuntia californica,1,TMTC,California cholla,6,,
37,"MJV9-16-BIO-VT-3,2-A8",3,206,35.235427,-115.802328,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A8",Basalt Pebbles,,Hedgehog cactus,Cactaceae,Echinocereus engelmannii,1,TMTC,Hedgehod cactus,6,,
38,"MJV9-16-BIO-VT-3,2-A8",3,206,35.235427,-115.802328,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A8",Basalt Pebbles,,Mormon tea,Ephedraceae,Ephedra viridis,1,TMTC,Morman tea,6,,
39,"MJV9-16-BIO-VT-3,2-A8",3,206,35.235427,-115.802328,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A8",Basalt Pebbles,,,Poaceae,Wheat top grass clumps,TMTC,TMTC,"yellow, brown",6,,
40,"MJV9-16-BIO-VT-3,2-A8",3,206,35.235427,-115.802328,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A8",Basalt Pebbles,,,,White lichen,1,N/A,"White lichen, pic",6,,
41,"MJV9-16-BIO-VT-3,2-A9",3,207,35.235432,-115.802343,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A9",Basalt,,White bursage,Asteraceae ,Ambrosia dumosa,1,10,White bursage,6,,
42,"MJV9-16-BIO-VT-3,2-A9",3,207,35.235432,-115.802343,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A9",Basalt,,,Poaceae,FIne grass clumps,6,10,"yellow, brown",6,,
43,"MJV9-16-BIO-VT-3,2-A9",3,207,35.235432,-115.802343,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A9",Basalt,,,Poaceae,Spiky stalk grass,1,10,"yellow, brown",6,,
44,"MJV9-16-BIO-VT-3,2-A9",3,207,35.235432,-115.802343,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A9",Basalt,,,Poaceae,Wheat top grass clumps,2,10,"yellow, brown",6,,
45,"MJV9-16-BIO-VT-3,2-A10",3,208,35.235453,-115.802403,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A10",Live Plant,,Buckhorn cholla,Cactaceae,Cylindropuntia acanthocarpa,1,TMTC,Buckhorn cholla,6,,
46,"MJV9-16-BIO-VT-3,2-A10",3,208,35.235453,-115.802403,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A10",Live Plant,,Hedgehog cactus,Cactaceae,Echinocereus engelmannii,1,TMTC,Hedgehog cactus,6,,
47,"MJV9-16-BIO-VT-3,2-A10",3,208,35.235453,-115.802403,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A10",Live Plant,,,Poaceae,FIne grass clumps,6,TMTC,"yellow, brown",6,,
48,"MJV9-16-BIO-VT-3,2-A10",3,208,35.235453,-115.802403,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A10",Live Plant,,Creosote bush,Zygophyllaceae,Larrea tridentada,1,TMTC,Creosote bush,6,,
49,"MJV9-16-BIO-VT-3,2-A10",3,208,35.235453,-115.802403,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-A10",Live Plant,,,Poaceae,Wheat top grass clumps,TMTC,TMTC,"yellow, brown",6,,
50,"MJV9-16-BIO-VT-3,2-C1",3,209,35.23556,-115.80191,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C1",Basalt Rock,,Mormon tea,Ephedraceae,Ephedra viridis,1,10,Morman tea,6,,
51,"MJV9-16-BIO-VT-3,2-C1",3,209,35.23556,-115.80191,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C1",Basalt Rock,,Barrel cactus,Cactaceae,Ferocactus cylindraceus,1,10,Barrel cactus,6,,
52,"MJV9-16-BIO-VT-3,2-C1",3,209,35.23556,-115.80191,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C1",Basalt Rock,,,Poaceae,FIne grass clumps,3,10,"yellow, brown",6,,
53,"MJV9-16-BIO-VT-3,2-C1",3,209,35.23556,-115.80191,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C1",Basalt Rock,,,,Soil Crusts,N/A,N/A,pic,6,,
54,"MJV9-16-BIO-VT-3,2-C1",3,209,35.23556,-115.80191,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C1",Basalt Rock,,,Poaceae,Spiky stalk grass,1,10,pic,6,,
55,"MJV9-16-BIO-VT-3,2-C1",3,209,35.23556,-115.80191,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C1",Basalt Rock,,,Poaceae,Wheat top grass clumps,4,10,"yellow, brown",6,,
56,"MJV9-16-BIO-VT-3,2-C2",3,210,35.235543,-115.801871,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C2",Sand,,Hedgehog cactus,Cactaceae,Echinocereus engelmannii,1,35,Hedgehog cactus,6,,
57,"MJV9-16-BIO-VT-3,2-C2",3,210,35.235543,-115.801871,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C2",Sand,,,Poaceae,FIne grass clumps,10,35,"yellow, brown",6,,
58,"MJV9-16-BIO-VT-3,2-C2",3,210,35.235543,-115.801871,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C2",Sand,,,Poaceae,Maroon/green fine grass,10,35,Possible Red Brome,6,,
59,"MJV9-16-BIO-VT-3,2-C2",3,210,35.235543,-115.801871,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C2",Sand,,,Poaceae,Wheat top grass clumps,10,35,"yellow, brown",6,,
60,"MJV9-16-BIO-VT-3,2-C2",3,210,35.235543,-115.801871,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C2",Sand,,,Poaceae,Woolly grass clumps,1,35,"fuzzy stems, not Low woollygrass",6,,
61,"MJV9-16-BIO-VT-3,2-C2",3,210,35.235543,-115.801871,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C2",Sand,,Mojave yucca,Agavaceae,Yucca schidigera,3,35,Mojave yucca,6,,
62,"MJV9-16-BIO-VT-3,2-C3",3,211,35.235591,-115.801859,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C3",Basalt Rock,,Cottontop cactus,Cactaceae,Echinocactus polycephalus,1,12,Cotton top cactus,6,,
63,"MJV9-16-BIO-VT-3,2-C3",3,211,35.235591,-115.801859,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C3",Basalt Rock,,Mormon tea,Ephedraceae,Ephedra viridis,1,12,Morman tea,6,,
64,"MJV9-16-BIO-VT-3,2-C3",3,211,35.235591,-115.801859,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C3",Basalt Rock,,Barrel cactus,Cactaceae,Ferocactus cylindraceus,2,12,Barrel cactus,6,,
65,"MJV9-16-BIO-VT-3,2-C3",3,211,35.235591,-115.801859,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C3",Basalt Rock,,,Poaceae,FIne grass clumps,4,12,"yellow, brown",6,,
66,"MJV9-16-BIO-VT-3,2-C3",3,211,35.235591,-115.801859,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C3",Basalt Rock,,Anderson thornbush,Solanaceae,Lycium andersonii,1,12,Anderson thorn bush,6,,
67,"MJV9-16-BIO-VT-3,2-C3",3,211,35.235591,-115.801859,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C3",Basalt Rock,,,,Soil Crusts,N/A,N/A,pic,6,,
68,"MJV9-16-BIO-VT-3,2-C3",3,211,35.235591,-115.801859,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C3",Basalt Rock,,,Poaceae,Wheat top grass clumps,3,12,"yellow, brown",6,,
69,"MJV9-16-BIO-VT-3,2-C4",3,212,35.23559,-115.801802,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C4",Basalt Rock,,,Poaceae,FIne grass clumps,2,TMTC,"yellow, brown",6,,
70,"MJV9-16-BIO-VT-3,2-C4",3,212,35.23559,-115.801802,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C4",Basalt Rock,,Beavertail cactus,Cactaceae,Opuntia basilaris,1,TMTC,Beavertail Cactus,6,,
71,"MJV9-16-BIO-VT-3,2-C4",3,212,35.23559,-115.801802,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C4",Basalt Rock,,,Poaceae,Wheat top grass clumps,TMTC,TMTC,"yellow, brown",6,,
72,"MJV9-16-BIO-VT-3,2-C4",3,212,35.23559,-115.801802,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C4",Basalt Rock,,Mojave yucca,Agavaceae,Yucca schidigera,1,TMTC,Mojave yucca,6,,
73,"MJV9-16-BIO-VT-3,2-C5",3,213,35.235589,-115.801687,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C5",Sand,,White bursage,Asteraceae ,Ambrosia dumosa,1,16,White bursage,6,,
74,"MJV9-16-BIO-VT-3,2-C5",3,213,35.235589,-115.801687,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C5",Sand,,Mormon tea,Ephedraceae,Ephedra viridis,1,16,Morman Tea,6,,
75,"MJV9-16-BIO-VT-3,2-C5",3,213,35.235589,-115.801687,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C5",Sand,,,Poaceae,FIne grass clumps,4,16,"yellow, brown",6,,
76,"MJV9-16-BIO-VT-3,2-C5",3,213,35.235589,-115.801687,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C5",Sand,,,,Large soil crusts,N/A,N/A,pic,6,,
77,"MJV9-16-BIO-VT-3,2-C5",3,213,35.235589,-115.801687,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C5",Sand,,,Poaceae,Maroon/green fine grass,5,16,Possible Red Brome,6,,
78,"MJV9-16-BIO-VT-3,2-C5",3,213,35.235589,-115.801687,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C5",Sand,,,Poaceae,Wheat top grass clumps,5,16,"yellow, brown",6,,
79,"MJV9-16-BIO-VT-3,2-C6",3,214,35.235601,-115.801618,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C6",Basalt,,,Poaceae,Maroon/green fine grass,12,16,Possible Red Brome,6,,
80,"MJV9-16-BIO-VT-3,2-C6",3,214,35.235601,-115.801618,,,Sheila/Kevin,Sheila,"MJV9-16-BIO-VT-3,2-C6",Basalt,,,,Unknown annual seedling,1,16,pic - just emerged from ground,6,,
